index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
3064,1,Tosco Tequila Silver,Tequila Tosco,2,52,73,62.5,1437,,-,Jalisco (Los Valles),Acid-Thermal Hydrolysis,-,-,Stainless steel tanks 100% agave,2x distilled,-,-,40% abv (80-proof),-,1,Agave (cooked),1,Alcohol,1,Brine/Salt,1,Vinegar,1,Medicinal,,,,,,,,,,,,,,,1,Agave (cooked),1,Alcohol,1,Brine/Salt,,,,,,,,,,,,,,,,,,
3065,1,Tosco Tequila Reposado,Tequila Tosco,6,58,69,63.5,1437,,-,Jalisco (Los Valles),Acid-Thermal Hydrolysis,Diffuser,Deep well water,Stainless steel tanks 100% agave,2x distilled,-,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,1,Tosco Tequila Añejo,Tequila Tosco,2,,88,44,1437,,-,Jalisco (Los Valles),Acid-Thermal Hydrolysis,Diffuser,Deep well water,Stainless steel tanks 100% agave,2x distilled,-,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,1,Tosco Tequila Añejo Cristalino,Tequila Tosco,3,,88,44,1437,,-,Jalisco (Los Valles),Acid-Thermal Hydrolysis,Diffuser,Deep well water,Stainless steel tanks 100% agave,2x distilled,-,American White Oak barrels,40% abv (80-proof),Color Filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,1,Tequila Town Blanco,Tequila Town,0,,,0,1539,,Jalisco (Tequila Valley),Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,38% abv (76 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,1,Urzua Tequila Blanco,Tequila Urzúa,10,,90,45,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,1,Fruity,1,Coconut,1,Vanilla,1,Agave (cooked),,,,,,,,,,,,,,,,,2,Vanilla,2,Coconut,1,Orange,1,Anise,1,Nutmeg,1,Tamarind,1,Chocolate,1,Fruity,1,Fruit (fake),1,Cinnamon,1,Caramel,,
3074,1,Urzua Tequila Reposado,Tequila Urzúa,9,,87,43.5,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,1,Vanilla,1,Butter,1,Agave (cooked),,,,,,,,,,,,,,,,,,,1,Vanilla,1,Butter,1,Agave (cooked),,,,,,,,,,,,,,,,,,
3075,1,Urzua Tequila Añejo,Tequila Urzúa,26,70,90,80,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,1,Caramel,,,,,,,,,,,,,,,,,,,,,,,1,Caramel,,,,,,,,,,,,,,,,,,,,,,
3076,1,Urzua Tequila Extra Añejo,Tequila Urzúa,36,82,92,87,1560,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,35-39% abv (70-78 proof),-,3,Vanilla,2,Agave (cooked),2,Oak,1,Cinnamon,1,Nutmeg,1,Baking Spice,,,,,,,,,,,,,3,Vanilla,3,Oak,2,Caramel,2,Cinnamon,2,Clove,2,Nutmeg,2,Agave (cooked),1,Butter,1,Pepper (black),1,Banana,1,Pear,1,Orange
3077,1,Tequila Vecindad Blanco,Tequila Vecindad,3,,85,42.5,1489,,-,Jalisco (Los Valles),Acid-Thermal Hydrolysis,Diffuser,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Column,-,43% abv (86-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
