Rank,Change,Owner,NOM,Avg Rating,Number of Ratings ,Number of Brands,Region,Brand 1,Brand 2,Brand 3,Brand 4,Brand 5
60,-12,"Compañia Tequilera de Arandas, S.A. de C.V.",1460,80.28,957,41,Jalisco (Los Altos Southern),Riazul, Tequila Lobos de Sangre Azul, Tequila Casa Del Sol, The Bad Stuff, Tequila Ciudad
61,5,Marco Antonio Jauregui Huerta,1450,80.1,80,5,Jalisco (Los Valles),Don Valente, Goya Tequila,,,
62,-2,"Corporacion Ansan, S.A. de C.V.",1360,79.86,243,7,Jalisco (Los Valles),Arta Tequila, Honorable, Amigo Tequilero, Revelación, Pez Gordo
63,-16,"Destileria La Experiencia, SA de CV",1585,79.78,63,3,Jalisco (Ciénega),Una Vida, Tequila Aman, Baluarte,,
64,-1,"Tequilera Tap, S. De R.L. De C.V.",1614,79.73,860,4,Jalisco (Los Valles),Tres Agaves, Inspiro Tequila,,,
65,3,"Tequila Artesanal de Los Altos de Jalisco, S.A. de C.V.",1436,79.39,75,1,Jalisco (Ciénega),Fina Estampa,,,,
66,-4,"Agaveros y Tequileros Unidos de Los Altos, S.A. de C.V.",1529,79.22,49,2,Jalisco (Central),Sol Azul, Agatha Tequila, Don Malaquias, Hacienda de Los Diaz,
67,-3,"Tequilera la Gonzaleña, S.A. de C.V.",1127,79.13,619,1,Tamaulípas,Chinaco,,,,
68,--,"Cia. Tequilera Los Generales, S.A. de C.V.",1486/1626,79.11,54,1,Jalisco (Los Valles),El Relingo, Sol de Barro, Manny's Beach Club,,
69,-2,"Fabrica de Tequila el Nacimiento, S.A. de C.V.",1455/1635,79.02,158,5,Jalisco (Los Altos Southern),Cruz del Sol, F Fino Tequila, El Nacimiento, Blanco 13, Fiesta Cancun
70,-1,"Tequila Centinela, S.A. de C.V.",1140,78.86,989,5,Jalisco (Los Altos Southern),Centinela, Cabrito,,,
71,--,"Tequilas del Señor, S.A. de C.V.",1124,78.73,690,26,Jalisco (Central),Herencia de Plata, Don Diego Santa, Dos Lunas, Herencia Historico 27 de Mayo, Reserva del Señor
72,5,"Casa Tequilera de Arandas, S.A. de C.V.",1499,78.72,838,27,Jalisco (Los Altos Southern),3 Amigos, Mi Casa, Don Sueños Tequila, Penta, Comisario
73,-1,"Pernod Ricard Mexico, S.A. de C.V.",1111,78.72,3007,3,Jalisco (Los Altos Southern),Olmeca Altos, Olmeca, Tezon, Alteño, Viuda de Romero
74,1,Destiladora del Valle de Tequila (Casa Maestri),1438,78.43,3139,164,Jalisco (Los Valles),El Padrino de Mi Tierra, Cincoro Tequila, La Historia de Nosotros, Casa Maestri, 21Seeds
75,1,"Campari Mexico, S.A. de C.V.",1440,78.41,3360,2,Jalisco (Los Altos Southern),El Espolon, Don Celso,,,
76,-3,"Integradora San Agustin, S.A. de C.V.",1547,78.32,152,19,Jalisco (Ciénega),Alien, TMT - El Tesoro de Mi Tierra, Sueño De Atzo, David Reyes, Black Sheep Tequila
77,1,"Autentica Tequilera, S.A. de C.V.",1502,78.3,96,16,Jalisco (Los Valles),Tierras Autenticas de Jalisco, Alebrijes, Black 50,,
78,-4,"DGL Destiladores, S. De R.L. De C.V.",1603,78.29,735,3,Jalisco (Los Altos Southern),El Mayor, Exotico, Dos Primos,,
79,1,"Productos Selectos de Agave, S.P.R. de R.L. de C.V.",1566,77.89,540,3,Michoacán,Dulce Vida, Campo Bravo,,,
80,1,Agabe Tequilana Productores y Comercializadores,1079/1580,77.87,1202,7,Jalisco (Los Altos Southern),ArteNOM Selección de 1580, 1921, Aha Toro, Frida Kahlo, Aha Yeto
81,1,"Patrón Spirits Mexico, S.A. de C.V.",1492,77.62,9052,1,Jalisco (Ciénega),Patron,,,,
