name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexico",2020-12-09,79.6,49.9,64.8,79.6,49.9,64.8,46.8,57,0,0,0,,,,,7.8,164.5,1016.9,51.5,7.6,198.7,17.2,8,,2020-12-09T07:21:13,2020-12-09T18:14:49,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-10,79.6,55.3,65.6,79.6,55.3,65.6,51.7,64.8,0,0,0,,,,,11.2,262.2,1013.2,58.7,7.7,185.5,16.1,8,,2020-12-10T07:21:50,2020-12-10T18:15:08,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-11,77.1,48.1,63.4,77.1,48.1,63.4,49.7,64.2,0,0,0,,,,,8.1,307.7,1013.9,50.7,8.2,202.4,17.4,8,,2020-12-11T07:22:27,2020-12-11T18:15:27,0.9,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-12,78.9,49.9,63.1,78.9,49.9,63.1,48.8,63.3,0,0,0,,,,,10.3,280.6,1012.5,77.2,8,147.6,12.7,6,,2020-12-12T07:23:02,2020-12-12T18:15:48,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-13,82.7,50.1,64.2,80.6,50.1,64,45.6,55.5,0,0,0,,,,,12.8,229.2,1013.8,70.3,8,152.8,13.3,6,,2020-12-13T07:23:38,2020-12-13T18:16:09,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-14,81.4,49.9,63.8,79.9,49.9,63.6,45.3,54.7,0,0,0,,,,,12.1,214.7,1013.7,31.8,7.8,196,17,8,,2020-12-14T07:24:13,2020-12-14T18:16:32,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-15,78.2,48.4,62.2,78.2,48.4,62.2,45.3,60.1,0,0,0,,,,22.4,12.5,249.9,1014.5,29.5,7.6,202.7,17.5,7,,2020-12-15T07:24:47,2020-12-15T18:16:56,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-16,79.4,40.9,60,79.4,40.9,60,41.5,56.8,0,0,0,,,,,9.2,219.6,1013.3,14.1,8.1,190.1,16.6,7,,2020-12-16T07:25:21,2020-12-16T18:17:21,0.07,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-17,79.1,42.7,61.3,79.1,42.7,61.3,42.5,54.3,0,0,0,,,,,6.5,210.8,1015.3,24.4,7.2,203.8,17.5,8,,2020-12-17T07:25:54,2020-12-17T18:17:47,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-18,80,42.7,61.6,80,42.7,61.6,41.9,54,0,0,0,,,,,10.3,226.3,1017.5,61.6,6.9,188.5,16.2,7,,2020-12-18T07:26:26,2020-12-18T18:18:14,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote,F6804"
"Tequila, Mexico",2020-12-19,80.5,46.5,63.3,80,46.5,63.3,41,50.4,0,0,0,,,,,5.1,282.1,1015.1,68.5,7.2,204.6,17.7,8,,2020-12-19T07:26:58,2020-12-19T18:18:42,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-20,82.5,42.9,64.5,80,42.9,64.2,38.4,43.7,0,0,0,,,,,7.2,71.3,1016.7,55,7.1,196.6,16.9,8,,2020-12-20T07:27:29,2020-12-20T18:19:11,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-21,80.3,44.7,62.9,79.1,44.7,62.7,40.3,48,0,0,0,,,,,8.1,161.3,1018.1,52.4,7.4,165.8,14.3,7,,2020-12-21T07:27:59,2020-12-21T18:19:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999,F0752,remote"
